president,party
George Washington,No Party Designation
John Adams,Federalist
Thomas Jefferson,Democratic-Republican
James Madison,Democratic-Republican
James Monroe,Democratic-Republican
John Quincy Adams,Democratic-Republican
Andrew Jackson,Democratic
Martin Van Buren,Democratic
William Harrison,Whig
John Tyler,Whig
James Polk,Democratic
Zachary Taylor,Whig
Millard Fillmore,Whig
Franklin Pierce,Democratic
James Buchanan,Democratic
Abraham Lincoln,Union
Andrew Johnson,Union
Ulysses Grant,Republican
Rutherford Hayes,Republican
James Garfield,Republican
Chester Arthur,Republican
Benjamin Harrison,Republican
Grover Cleveland,Democratic
William McKinley,Republican
Theodore Roosevelt,Republican
William Taft,Republican
Woodrow Wilson,Democratic
Warren Harding,Republican
Calvin Coolidge,Republican
Herbert Hoover,Republican
Franklin Roosevelt,Democratic
Harry Truman,Democratic
Dwight Eisenhower,Republican
John Kennedy,Democratic
Lyndon Johnson,Democratic
Richard Nixon,Republican
Gerald Ford,Republican
Jimmy Carter,Democratic
Ronald Reagan,Republican
George H. W. Bush,Republican
Bill Clinton,Democratic
George W. Bush,Republican
Barack Obama,Democratic
